Number,Species,SpMyco,Light,SoilSt,SoilCon,SoilSp,SoilMyco,SoilSpec,Adult,Bench,Time,Event,AMF,EMF,NSC,Lignin,Phenolics,AMF_Imp,EMF_Imp,NSC_Imp,LIG_Imp,PHN_Imp
216,Prse,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,1595,1,21,0,NA,NA,12.13,NA,NA,65.71,NA,12.13459518,9.836436692,0.714255129
217,Acru,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,394,1,21,0,NA,NA,12.19,NA,NA,34.19,NA,12.18732755,9.991508958,0.143052026
218,Acsa,AMF,High,Nonsterile,Heterospecific,Pogr,EMF,HetEMF,1201,1,84,0,NA,NA,NA,NA,NA,68.23,NA,12.39654702,13.77694548,0.008241701
219,Prse,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1027,1,21,0,0,NA,NA,8.8,0.03,0,NA,11.51373132,8.827129879,0.026473939
220,Qual,EMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,A,1,84,0,41,NA,NA,NA,NA,41,40.78137072,22.04065426,18.75057379,4.900452865
221,Acsa,AMF,High,Nonsterile,Conspecific,Acsa,AMF,Con,1330,1,21,0,NA,NA,12.51,NA,NA,73.02,NA,12.50539054,13.43481496,0.242003373
222,Acsa,AMF,High,Sterile,Sterile,Sterile,Sterile,ConSter,1330,1,21,0,NA,NA,13.06,NA,NA,6.39E-16,NA,13.06194161,12.92219694,0.472485211
223,Acru,AMF,High,Nonsterile,Heterospecific,Quru,EMF,HetEMF,921,1,84,0,NA,NA,NA,NA,NA,34.335,NA,12.04882738,9.218668347,0.150404852
224,Acsa,AMF,High,Nonsterile,Heterospecific,Prse,AMF,HetAMF,J,1,21,0,72,NA,NA,13.8,-0.25,72,NA,12.16185722,13.75683367,-0.254044696
225,Quru,EMF,High,Nonsterile,Heterospecific,Acru,AMF,HetAMF,1384,1,84,0,40,NA,NA,NA,NA,40,37.89171957,15.03320896,23.42552534,3.391775714
